,id,conversation_id,created_at,date,time,timezone,place,tweet,language,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,urls,photos,video,thumbnail,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
0,1.52154E+17,1.52152E+17,1.32511E+12,12/28/2011,10:27:08,0,,@TheOnion So true :),en,[],[],44196397,44196397,elonmusk,Elon Musk,3,22,https://twitter.com/elonmusk/status/152153637639028736,[],[],0,,FALSE,12,7,1,,None,,,,,,,[],,,,
1,1.51809E+17,1.51809E+17,1.32503E+12,12/27/2011,11:38:55,0,,If you ever wanted to know the *real* truth about the moon landings ...(best Onion article ever)  http://t.co/pgNEJsjI,en,[],[],44196397,44196397,elonmusk,Elon Musk,2,23,https://twitter.com/elonmusk/status/151809315026636800,['http://j.mp/vLhhov'],[],0,,FALSE,39,13,34,,None,,,,,,,[],,,,
2,1.51339E+17,1.51339E+17,1.32492E+12,12/26/2011,4:29:50,0,,Walked around a neighborhood recently rebuilt with help from APJ and others  http://t.co/KYHjsS1k,en,[],[],44196397,44196397,elonmusk,Elon Musk,1,16,https://twitter.com/elonmusk/status/151338939389706242,[],['https://pbs.twimg.com/media/Ahmp9qtCAAAYPDX.jpg'],1,https://pbs.twimg.com/media/Ahmp9qtCAAAYPDX.jpg,FALSE,155,9,18,,None,,,,,,,[],,,,
3,1.51337E+17,1.51337E+17,1.32492E+12,12/26/2011,4:23:04,0,,"It was Xmas, so we brought presents for the kids at the orphanage. They don't usually get much.  http://t.co/r8qfluIG",en,[],[],44196397,44196397,elonmusk,Elon Musk,1,16,https://twitter.com/elonmusk/status/151337237429239808,[],['https://pbs.twimg.com/media/AhmoamaCQAANvSt.jpg'],1,https://pbs.twimg.com/media/AhmoamaCQAANvSt.jpg,FALSE,158,15,13,,None,,,,,,,[],,,,
4,1.51328E+17,1.51328E+17,1.32491E+12,12/26/2011,3:45:18,0,,"Met with UNICEF, Doctors Without Borders and Artists for Peace & Justice. I support them and would recommend others do too.",en,[],[],44196397,44196397,elonmusk,Elon Musk,1,15,https://twitter.com/elonmusk/status/151327734843445249,[],[],0,,FALSE,20,5,31,,None,,,,,,,[],,,,
5,1.51322E+17,1.51322E+17,1.32491E+12,12/26/2011,3:23:40,0,,Just returned from a trip to Haiti. Covered a lot of ground and saw many tough situations. They need a lot of help.,en,[],[],44196397,44196397,elonmusk,Elon Musk,1,15,https://twitter.com/elonmusk/status/151322293174419456,[],[],0,,FALSE,26,16,14,,None,,,,,,,[],,,,
6,1.51318E+17,1.51318E+17,1.32491E+12,12/26/2011,3:05:19,0,,Single character Tweets are the ulitmate extension of the Twitmeme...,en,[],[],44196397,44196397,elonmusk,Elon Musk,1,15,https://twitter.com/elonmusk/status/151317672217419777,[],[],0,,FALSE,23,30,6,,None,,,,,,,[],,,,
7,1.51152E+17,1.51152E+17,1.32487E+12,12/26/2011,4:06:06,0,,I,und,[],[],44196397,44196397,elonmusk,Elon Musk,1,4,https://twitter.com/elonmusk/status/151151777662779392,[],[],0,,FALSE,176,27,89,,None,,,,,,,[],,,,
8,1.50391E+17,1.50391E+17,1.32469E+12,12/24/2011,1:41:33,0,,The Russians are having some challenges with their rockets. Too many of the engineers that designed them have retired:  http://t.co/rEs7spSU,en,[],[],44196397,44196397,elonmusk,Elon Musk,6,1,https://twitter.com/elonmusk/status/150390624552615937,['http://ow.ly/89k5F'],[],0,,FALSE,17,27,14,,None,,,,,,,[],,,,
9,1.50389E+17,1.50389E+17,1.32469E+12,12/24/2011,1:33:35,0,,We had a long and interesting conversation on many subjects. He has exciting ideas for extending his creative talents beyond music.,en,[],[],44196397,44196397,elonmusk,Elon Musk,6,1,https://twitter.com/elonmusk/status/150388617246801920,[],[],0,,FALSE,41,11,6,,None,,,,,,,[],,,,
10,1.50388E+17,1.50388E+17,1.32469E+12,12/24/2011,1:29:19,0,,Kanye stopped by the SpaceX rocket factory today.  http://t.co/6z7gHBn6,en,[],[],44196397,44196397,elonmusk,Elon Musk,6,1,https://twitter.com/elonmusk/status/150387544402575360,[],['https://pbs.twimg.com/media/AhZIrMMCQAAayCv.jpg'],1,https://pbs.twimg.com/media/AhZIrMMCQAAayCv.jpg,FALSE,117055,1332,8414,,None,,,,,,,[],,,,
